Car_ID,Make,Total,Rank
113,Acura,116,4
112,Acura,110,6
50,Acura,102,8
15,Audi,120,3
18,Audi,38,83
116,Audi,28,98
2,Bmw,24,108
172,Bmw,22,117
111,Bmw,10,140
218,Chevy,64,33
170,Chevy,50,55
0,Chevy,0,166
216,Chrystler,96,11
42,Dodge,8,149
137,Ford,54,49
120,Ford,30,94
219,Ford,26,104
83,Honda,112,5
65,Honda,106,7
31,Honda,102,9
30,Hyundai,66,30
38,Hyundai,62,40
92,Hyundai,30,95
128,Infiniti,128,1
122,Infiniti,44,68
20,Infiniti,38,79
124,Jeep,124,2
123,Lexus,66,31
222,Lexus,40,74
190,Lexus,10,146
52,Mazda,48,59
78,Mazda,36,86
141,Mazda,26,105
25,Mercedes,78,22
84,Mercedes,70,28
17,Mercedes,34,88
91,Mitsu,102,10
140,Mitsu,44,63
176,Mitsu,40,76
228,Nissan,92,12
161,Nissan,84,18
3,Nissan,84,19
57,Scion,80,21
235,Scion,20,121
36,Subaru,74,24
33,Subaru,68,29
21,Subaru,62,37
142,Toyota,58,43
110,Toyota,58,44
43,Toyota,54,47
126,Volkswagen,92,14
180,Volkswagen,82,20
156,Volkswagen,56,45
100,Volvo,22,116
